code,name,point_code,note1,note2
K004 2,皮膚、皮下、粘膜下血管腫摘出術（露出部以外） 長径３センチメートル以上６センチメートル未満,AW1 10 00,,
K004 3,皮膚、皮下、粘膜下血管腫摘出術（露出部以外） 長径６センチメートル以上,AW1 10 00,,
K005 1,皮膚、皮下腫瘍摘出術（露出部） 長径２センチメートル未満,AW1 11 00,,
K005 2,皮膚、皮下腫瘍摘出術（露出部）  長径２センチメートル以上４センチメートル未満,AW1 11 00,,
K005 3,皮膚、皮下腫瘍摘出術（露出部） 長径４センチメートル以上,AW1 11 00,,
K006 1,皮膚、皮下腫瘍摘出術（露出部以外） 長径３センチメートル未満,AW1 11 00,,
K006 2,皮膚、皮下腫瘍摘出術（露出部以外） 長径３センチメートル以上６センチメートル未満,AW1 11 00,,
K006 3,皮膚、皮下腫瘍摘出術（露出部以外） 長径６センチメートル以上12センチメートル未満,AW1 11 00,,
K006 4,皮膚、皮下腫瘍摘出術（露出部以外） 長径12センチメートル以上,AW1 11 00,,
K006-2 1,鶏眼・胼胝切除術（露出部で縫合を伴うもの） 長径２センチメートル未満,AW1 11 00,,
K006-2 2,鶏眼・胼胝切除術（露出部で縫合を伴うもの） 長径２センチメートル以上４センチメートル未満,AW1 11 00,,
K006-2 3,鶏眼・胼胝切除術（露出部で縫合を伴うもの） 長径４センチメートル以上,AW1 11 00,,
K006-3 1,鶏眼・胼胝切除術（露出部以外で縫合を伴うもの） 長径３センチメートル未満,AW1 11 00,,
K006-3 2,鶏眼・胼胝切除術（露出部以外で縫合を伴うもの） 長径３センチメートル以上６センチメートル未満,AW1 11 00,,
K006-3 3,鶏眼・胼胝切除術（露出部以外で縫合を伴うもの） 長径６センチメートル以上,AW1 11 00,,
K006-4 1,皮膚腫瘍冷凍凝固摘出術（一連につき） 長径３センチメートル未満の良性皮膚腫瘍,AW1 18 00,,
K006-4 2,皮膚腫瘍冷凍凝固摘出術（一連につき） 長径３センチメートル未満の悪性皮膚腫瘍,AW1 18 00,,
K006-4 3,皮膚腫瘍冷凍凝固摘出術（一連につき） 長径３センチメートル以上６センチメートル未満の良性又は悪性皮膚腫瘍,AW1 18 00,,
K006-4 4,皮膚腫瘍冷凍凝固摘出術（一連につき） 長径６センチメートル以上の良性又は悪性皮膚腫瘍,AW1 18 00,,
K007 1,皮膚悪性腫瘍切除術 広汎切除,A11 13 00,,
K007 2,皮膚悪性腫瘍切除術 単純切除,A11 11 00,,
K007-2,経皮的放射線治療用金属マーカー留置術,ZZZ 50 14,,
K008 1,腋臭症手術 皮弁法,A63 10 00,,
K008 2,腋臭症手術 皮膚有毛部切除術,A63 12 00,,
K008 3,腋臭症手術 その他のもの,A63 10 00,,
K009 1,皮膚剥削術 25平方センチメートル未満,A11 41 00,,
K009 2,皮膚剥削術 25平方センチメートル以上100平方センチメートル未満,A11 41 00,,
K009 3,皮膚剥削術 100平方センチメートル以上200平方センチメートル未満,A11 41 00,,
K009 4,皮膚剥削術 200平方センチメートル以上,A11 41 00,,
K010 1,瘢痕拘縮形成手術 顔面,A14 32 00,,
K010 2,瘢痕拘縮形成手術 その他,A11 32 00,,
K011 1,顔面神経麻痺形成手術 静的なもの,A14 32 00,,
K011 2,顔面神経麻痺形成手術 動的なもの,A14 30 00,,
K013 1,分層植皮術 25平方センチメートル未満 ,A11 43 00,,
K013 2,分層植皮術 25平方センチメートル以上100平方センチメートル未満  ,A11 43 00,,
K013 3,分層植皮術 100平方センチメートル以上200平方センチメートル未満  ,A11 43 00,,
K013 4,分層植皮術 200平方センチメートル以上   ,A11 43 00,,
K013-2 1,全層植皮術 25平方センチメートル未満 ,A11 43 00,,
K013-2 2,全層植皮術 25平方センチメートル以上100平方センチメートル未満 ,A11 43 00,,
K013-2 3,全層植皮術 100平方センチメートル以上200平方センチメートル未満 ,A11 43 00,,
K013-2 4,全層植皮術 200平方センチメートル以上  ,A11 43 00,,
K014,皮膚移植術(生体・培養),A11 43 00,,
K014-2 1,皮膚移植術(死体)  200平方センチメートル未満,A11 43 00,,
K014-2 2,皮膚移植術(死体)  200平方センチメートル以上500平方センチメートル未満,A11 43 00,,
K014-2 3,"皮膚移植術(死体)  500平方センチメートル以上1,000平方センチメートル未満",A11 43 00,,
K014-2 4,"皮膚移植術(死体)  1,000平方センチメートル以上3,000平方センチメートル未満",A11 43 00,,
K014-2 5,"皮膚移植術(死体)  3,000平方センチメートル以上",A11 43 00,,
K015 1,皮弁作成術、移動術、切断術、遷延皮弁術 25平方センチメートル未満  ,AW1 43 00,,
K015 2,皮弁作成術、移動術、切断術、遷延皮弁術 25平方センチメートル以上100平方センチメートル未満   ,AW1 43 00,,
K015 3,皮弁作成術、移動術、切断術、遷延皮弁術  100平方センチメートル以上   ,AW1 43 00,,
K016,動脈（皮）弁術、筋（皮）弁術,A11 43 00,乳房以外の場合,
K016,動脈（皮）弁術、筋（皮）弁術,P62 32 00,対側乳房縮小・固定術(乳房再建後)の場合,
K017 1,遊離皮弁術（顕微鏡下血管柄付きのもの）  乳房再建術の場合,P62 43 02,,
K017 2,遊離皮弁術（顕微鏡下血管柄付きのもの）  その他の場合,A11 43 00,,
K019,複合組織移植術,A11 43 00,,
K020,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）  ,A11 43 00,,
K021 1,粘膜移植術 ４平方センチメートル未満  ,A11 43 00,,
K021 2,粘膜移植術 ４平方センチメートル以上      ,A11 43 00,,
K021-2 1,粘膜弁手術 ４平方センチメートル未満  ,A11 43 00,,
K021-2 2,粘膜弁手術 ４平方センチメートル以上      ,A11 43 00,,
K022 1,組織拡張器による再建手術（一連につき）  乳房(再建手術)の場合,P62 32 00,,
K022 2,組織拡張器による再建手術（一連につき）  その他の場合,A11 32 00,,
K022-2 1,象皮病根治手術 大腿,A74 32 00,,
K022-2 2,象皮病根治手術 下腿,A76 32 00,,
K023,筋膜切離術、筋膜切開術,B1A 16 00,,
K024,筋切離術,B15 15 00,,
K025,股関節内転筋切離術,B97 15 00,,
K026,股関節筋群解離術,B97 15 00,,
K026-2,股関節周囲筋腱解離術（変形性股関節症）,B97 15 00,,
K027 1,筋炎手術　腸腰筋、殿筋、大腿筋,B97 16 00,,
K027 2,筋炎手術　その他の筋,B15 16 00,,
K028,腱鞘切開術（関節鏡下によるものを含む。）    ,B16 16 00,直視下手術の場合,
K028,腱鞘切開術（関節鏡下によるものを含む。）    ,B16 16 11,関節鏡下の場合,
K029,筋肉内異物摘出術,B15 17 00,,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,D8D 11 00,部位が頚部,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,B71 11 00,部位が体幹,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,B22 11 00,部位が肩,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,B21 11 00,部位が上腕,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,B41 11 00,部位が前腕,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,B93 11 00,部位が大腿,
K030 1,四肢・躯幹軟部腫瘍摘出術 肩、上腕、前腕、大腿、下腿、躯幹,BAC 11 00,部位が下腿,
K030 2,四肢・躯幹軟部腫瘍摘出術 手、足,B52 11 00,部位が手,
K030 2,四肢・躯幹軟部腫瘍摘出術 手、足,B55 11 00,部位が手指,
K030 2,四肢・躯幹軟部腫瘍摘出術 手、足,BB3 11 00,部位が足,
K030 2,四肢・躯幹軟部腫瘍摘出術 手、足,BB6 11 00,部位が足指,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,B71 13 00,部位が体幹,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,B22 13 00,部位が肩,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,B21 13 00,部位が上腕,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,B41 13 00,部位が前腕,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,B93 13 00,部位が大腿,
K031 1,四肢・躯幹軟部悪性腫瘍手術 肩、上腕、前腕、大腿、下腿、躯幹,BAC 13 00,部位が下腿,
K031 2,四肢・躯幹軟部悪性腫瘍手術 手、足,B52 13 00,部位が手,
K031 2,四肢・躯幹軟部悪性腫瘍手術 手、足,BB3 13 00,部位が足,
K033 1,筋膜移植術 指（手、足） ,B1D 43 00,部位が手指,
K033 1,筋膜移植術 指（手、足） ,B1E 43 00,部位が足趾,
K033 2,筋膜移植術 その他のもの,B1B 43 00,,
K034,腱切離・切除術（関節鏡下によるものを含む。）,B16 15 00,腱切離術で、直視下の場合,
K034,腱切離・切除術（関節鏡下によるものを含む。）,B16 15 11,腱切離術で、関節鏡下の場合,
K034,腱切離・切除術（関節鏡下によるものを含む。）,B16 11 00,腱切除術で、直視下の場合,
K034,腱切離・切除術（関節鏡下によるものを含む。）,B16 11 11,腱切除術で、関節鏡下の場合,
K035,腱剥離術（関節鏡下によるものを含む。）,B16 15 00,直視下の場合,
